ID	Name	metabID
MAR09130	LPL	MAM02414
MAR09131	sarcosine	MAM02880
MAR09132	acetoacetate	MAM01253
MAR09133	pyruvate	MAM02819
MAR09134	(R)-3-hydroxybutanoate	MAM00157
MAR09135	L-lactate	MAM02403
MAR09136	D-lactate	MAM01716
MAR09137	mannose	MAM02453
MAR09138	xylitol	MAM03155
MAR09139	fructose	MAM01840
MAR09140	galactose	MAM01910
MAR09141	ADP-ribose	MAM01288
MAR09142	nicotinate	MAM02586
MAR09143	riboflavin	MAM02842
MAR09144	pyridoxine	MAM02817
MAR09145	pantothenate	MAM02680
MAR09146	folate	MAM01830
MAR09147	retinol	MAM02834
MAR09148	iodide	MAM02174
MAR09149	nitrite	MAM02588
MAR09150	chloride	MAM01442
MAR09151	alpha-tocopherol	MAM01327
MAR09152	alpha-tocotrienol	MAM01330
MAR09153	gamma-tocopherol	MAM01935
MAR09154	gamma-tocotrienol	MAM01938
MAR09155	ITP	MAM02193
MAR09156	dITP	MAM01714
MAR09158	ascorbate	MAM01368
MAR09159	thiamin	MAM02982
MAR09160	hydrogen-cyanide	MAM02145
MAR09161	homoserine	MAM02136
MAR09163	leukotriene F4	MAM02370
MAR09165	oxalate	MAM02661
MAR09166	chitin-component	MAM01438
MAR09167	lipoic acid	MAM02394
MAR09168	glucosamine	MAM01962
MAR09169	selenate	MAM02885
MAR09171	2-acetyl-1-alkyl-sn-glycero-3-phosphocholine	MAM00626
MAR09172	1-organyl-2-lyso-sn-glycero-3-phosphocholine	MAM00549
MAR09201	citrulline	MAM01588
MAR09203	D-xylose	MAM01758
MAR09204	glycophosphatidylinositol-(GPI)-anchored-protein-precursor	MAM02001
MAR09205	10-formyl-THF	MAM00266
MAR09206	10-formyl-THF-glu(5)	MAM00267
MAR09207	10-formyl-THF-glu(6)	MAM00268
MAR09208	10-formyl-THF-glu(7)	MAM00269
MAR09209	fatty acid pool	MAM10005
MAR09210	13-cis-retinoyl-glucuronide	MAM00353
MAR09211	24R,25-dihyoxyvitamin D2	MAM00613
MAR09212	(24R)-24,25-dihydroxycalciol	MAM00035
MAR09213	4-nitrocatechol	MAM01019
MAR09214	25-hydroxyvitamin D2	MAM00620
MAR09215	calcidiol	MAM01415
MAR09216	2-hydroxybutyrate	MAM00648
MAR09217	2-methylcitrate	MAM00665
MAR09218	3,4-dihydroxyphenylethyleneglycol	MAM00730
MAR09219	L-dopa	MAM02354
MAR09220	cGMP	MAM01433
MAR09221	L-3-amino-isobutanoate	MAM02325
MAR09222	D-3-amino-isobutanoate	MAM01633
MAR09223	4-hydroxy-debrisoquine	MAM00998
MAR09224	4-hydroxyphenylacetate	MAM01003
MAR09225	isocaproic-aldehyde	MAM02182
MAR09226	4-hydroxy-tolbutamide	MAM01007
MAR09227	4-nitrophenyl-sulfate	MAM01021
MAR09228	4-pyridoxate	MAM01033
MAR09229	5-alpha-dihydrotestosterone	MAM01069
MAR09230	5alpha-dihydrotestosterone-glucuronide	MAM01070
MAR09231	5alpha-dihydrotestosterone-sulfate	MAM01071
MAR09232	pentaglutamyl-folate(DHF)	MAM02691
MAR09233	5-hydroxy-omeprazole	MAM01109
MAR09234	5-methyl-THF	MAM01115
MAR09235	pentaglutamyl-folate(THF)	MAM02692
MAR09236	hexaglutamyl-folate(DHF)	MAM02118
MAR09237	6beta-hydroxytestosterone	MAM01158
MAR09238	hexaglutamyl-folate(THF)	MAM02119
MAR09239	heptaglutamyl-folate(DHF)	MAM02104
MAR09240	heptaglutamyl-folate(THF)	MAM02105
MAR09241	L-arabitol	MAM02338
MAR09242	acetaldehyde	MAM01249
MAR09243	acetone	MAM01256
MAR09244	type III A glycolipid	MAM03096
MAR09245	type IIIAb	MAM03098
MAR09246	N-acetylglucosamine	MAM02527
MAR09247	acetylcholine	MAM01260
MAR09248	sialyl(1,3)-sialyl(2,6)-galactosylgloboside	MAM02902
MAR09249	sialyl(2,3)-sialyl(2,6)-galactosylgloboside	MAM02903
MAR09250	3,8-LD1	MAM00744
MAR09251	disialylgalactosylgloboside	MAM01711
MAR09252	VI3NeuAc-nLc6Cer	MAM03138
MAR09253	adenine	MAM01279
MAR09254	adenosine	MAM01280
MAR09255	ADP	MAM01285
MAR09256	ADP-ribose-2-phosphate	MAM01289
MAR09257	etiocholan-3alpha-ol-17-one 3-glucuronide	MAM01799
MAR09258	1-alkyl-2-lysoglycerol-3-phosphocholine	MAM00516
MAR09259	AKG	MAM01306
MAR09260	beta-alanine	MAM01383
MAR09261	aldosterone	MAM01309
MAR09262	AMP	MAM01334
MAR09263	androsterone	MAM01338
MAR09264	androsterone-glucuronide	MAM01339
MAR09265	antipyrine	MAM01344
MAR09266	alpha-pinene-oxide	MAM01326
MAR09267	(+)-alpha-pinene	MAM00002
MAR09268	20alpha-hydroxy-4-pregnen-3-one	MAM00580
MAR09269	aquacob(III)alamin	MAM01361
MAR09270	L-arabinose	MAM02337
MAR09271	bilirubin-bisglucuronoside	MAM01397
MAR09272	bilirubin-monoglucuronoside	MAM01398
MAR09273	bilirubin	MAM01396
MAR09275	cAMP	MAM01419
MAR09276	beta-carotene	MAM01385
MAR09277	(-)-trans-carveol	MAM00001
MAR09279	cys-gly	MAM01626
MAR09280	cholate	MAM01445
MAR09281	glycocholate	MAM01988
MAR09282	taurocholate	MAM02963
MAR09283	glycochenodeoxycholate	MAM01987
MAR09284	taurochenodeoxycholate	MAM02962
MAR09285	cholesterol	MAM01450
MAR09286	citrate	MAM01587
MAR09287	CMP	MAM01590
MAR09288	CO	MAM01595
MAR09289	coumarin	MAM01617
MAR09290	creatine	MAM01619
MAR09291	cytosine	MAM01632
MAR09292	L-carnitine	MAM02348
MAR09293	cortisol	MAM01615
MAR09294	corticosterone	MAM01614
MAR09295	cytidine	MAM01630
MAR09296	deoxycytidine	MAM01668
MAR09297	deoxyadenosine	MAM01666
MAR09299	debrisoquin	MAM01647
MAR09300	deoxyguanosine	MAM01669
MAR09301	dehydroascorbic acid	MAM01655
MAR09302	dehydroepiandrosterone sulfate	MAM01659
MAR09303	dihydrofolate	MAM01700
MAR09304	digalactosylceramidesulfate	MAM01695
MAR09305	deoxyinosine	MAM01671
MAR09306	edaravone	MAM01768
MAR09307	2,6-dimethylheptanoyl-carnitine	MAM00577
MAR09308	dopamine-3-O-sulfate	MAM01737
MAR09309	deoxyribose	MAM01672
MAR09310	deoxyuridine	MAM01673
MAR09311	aflatoxin B1-exo-8,9-epoxide	MAM01298
MAR09312	ebastine	MAM01765
MAR09313	hydroxylated-ebastine	MAM02150
MAR09314	estradiol-17beta	MAM01787
MAR09315	16-glucuronide-estriol	MAM00402
MAR09316	estrone-glucuronide	MAM01795
MAR09317	estrone 3-sulfate	MAM01789
MAR09318	formate	MAM01833
MAR09319	III3Fuc-nLc6Cer	MAM02164
MAR09320	glycolipid	MAM01999
MAR09321	fucacgalfucgalacglcgalgluside heparan sulfate	MAM01850
MAR09322	IV3NeuAc,III3Fuc-nLc4Cer	MAM02199
MAR09323	IV3Neu5Ac,III4Fuc-Lc4Cer	MAM02198
MAR09324	fucfuc132galacglcgal14acglcgalgluside heparan sulfate	MAM01851
MAR09325	fucfucfucgalacglc13galacglcgal14acglcgalgluside heparan sulfate	MAM01852
MAR09326	fucfucfucgalacglcgal14acglcgalgluside heparan sulfate	MAM01853
MAR09327	lacto-N-fucopentaosyl-III-ceramide	MAM02331
MAR09328	fucgalfucgalacglcgalgluside heparan sulfate	MAM01859
MAR09329	fucosyl-galactosylgloboside	MAM01861
MAR09330	6-deoxy-L-galactose	MAM01159
MAR09331	gal-glcnac-gal-globoside	MAM01919
MAR09332	galfuc12gal14acglcgalgluside heparan sulfate	MAM01914
MAR09333	galfucgalacglcgal14acglcgalgluside heparan sulfate	MAM01915
MAR09334	galgalfucfucgalacglcgalacglcgal14acglcgalgluside heparan sulfate	MAM01916
MAR09335	galgalgalthcrm heparan sulfate	MAM01917
MAR09336	globoside	MAM01959
MAR09337	GD1beta	MAM01944
MAR09338	(5-L-glutamyl)-L-amino acid	MAM00097
MAR09339	GD1c	MAM01945
MAR09340	GDP	MAM01948
MAR09341	betaine	MAM01393
MAR09342	glycerate	MAM01982
MAR09343	GMP	MAM02016
MAR09344	GP1c	MAM02018
MAR09345	GP1calpha	MAM02019
MAR09346	GQ1b	MAM02023
MAR09347	GQ1balpha	MAM02024
MAR09348	guanosine	MAM02038
MAR09349	GT1a	MAM02028
MAR09350	GSSG	MAM02027
MAR09351	GSH	MAM02026
MAR09352	GTP	MAM02034
MAR09353	guanine	MAM02037
MAR09354	H2O2	MAM02041
MAR09355	4-hydroxy-17beta-estradiol	MAM00986
MAR09356	umbelliferone	MAM03113
MAR09357	6-hydroxypaclitaxel	MAM01163
MAR09358	hypoxanthine	MAM02159
MAR09359	IDP	MAM02161
MAR09360	IMP	MAM02167
MAR09361	inositol	MAM02171
MAR09362	inosine	MAM02170
MAR09363	cystine	MAM01629
MAR09364	leukotriene A4	MAM02362
MAR09365	leukotriene B4	MAM02364
MAR09366	leukotriene C4	MAM02366
MAR09367	LTD4	MAM02418
MAR09368	leukotriene E4	MAM02369
MAR09369	limonene	MAM02386
MAR09370	maltose	MAM02450
MAR09371	maltotriose	MAM02452
MAR09372	methanol	MAM02470
MAR09373	L-metanephrine	MAM02407
MAR09374	3-mercaptolactate-cysteine-disulfide	MAM00816
MAR09375	methylglyoxal	MAM02475
MAR09376	NAD+	MAM02552
MAR09377	NADP+	MAM02554
MAR09378	nicotinamide	MAM02583
MAR09379	nifedipine	MAM02587
MAR09380	hydroxy-nifedipine	MAM02153
MAR09381	NO	MAM02609
MAR09382	norepinephrine sulfate	MAM02620
MAR09383	O2-	MAM02631
MAR09384	9-O-acetylated-GD3	MAM01244
MAR09385	9-O-acetylated-GT3	MAM01245
MAR09386	hydroxide	MAM02147
MAR09387	omeprazole	MAM02653
MAR09388	(1R,2S)-naphthalene 1,2-oxide	MAM00032
MAR09389	[protein]-L-lysine	MAM00204
MAR09390	perillyl alcohol	MAM02712
MAR09391	phenylacetylglutamine	MAM02722
MAR09393	progesterone	MAM02769
MAR09395	prostaglandin D2	MAM02783
MAR09396	prostaglandin E1	MAM02785
MAR09397	prostaglandin E2	MAM02786
MAR09398	prostaglandin F2alpha	MAM02789
MAR09399	pyridoxamine	MAM02815
MAR09400	pyridoxal	MAM02813
MAR09401	ribitol	MAM02841
MAR09404	retinoate	MAM02833
MAR09405	retinoyl-glucuronide	MAM02836
MAR09406	ribose	MAM02843
MAR09408	(S)-3-sulfolactate	MAM00179
MAR09409	sphingosylphosphorylcholine	MAM02931
MAR09410	sphinganine-1-phosphate	MAM02928
MAR09411	sphingosine-1-phosphate	MAM02930
MAR09412	serotonin	MAM02897
MAR09413	starch structure 1	MAM02936
MAR09414	starch structure 2	MAM02937
MAR09415	succinate	MAM02943
MAR09416	sucrose	MAM02945
MAR09417	D-tagatose	MAM01745
MAR09418	taurine	MAM02961
MAR09419	paclitaxel	MAM02673
MAR09420	thiocyanate	MAM02986
MAR09421	THF	MAM02980
MAR09422	thymine	MAM02997
MAR09423	thymidine	MAM02996
MAR09424	thyroxine	MAM02998
MAR09425	tolbutamide	MAM03001
MAR09426	trehalose	MAM03039
MAR09427	triiodothyronine	MAM03052
MAR09428	3,5,3-triiodothyronine-4-sulfate	MAM00734
MAR09429	testosterone	MAM02969
MAR09430	testosterone glucuronide	MAM02967
MAR09431	testosterone sulfate	MAM02968
MAR09432	thiosulfate	MAM02991
MAR09433	thromboxane A2	MAM02994
MAR09434	tyramine-O-sulfate	MAM03100
MAR09435	UDP	MAM03106
MAR09436	UMP	MAM03114
MAR09437	uracil	MAM03118
MAR09438	urea	MAM03121
MAR09439	uridine	MAM03123
MAR09440	UTP	MAM03130
MAR09441	vitamin D2	MAM03141
MAR09442	vitamin D3	MAM03142
MAR09443	12-hydroxydodecanoic acid	MAM00325
MAR09444	14-hydroxytetradecanoic acid	MAM00371
MAR09445	16-hydroxyhexadecanoic acid	MAM00403
MAR09446	19-hydroxytestosterone	MAM00432
MAR09447	galactosylglycerol	MAM01913
MAR09448	maltodecaose	MAM02445
MAR09449	phenylacetylglycine	MAM02723
MAR09450	XTP	MAM03154
MAR09451	itaconate	MAM02191
MAR09452	estriol	MAM01788
MAR09453	etiocholanolone	MAM01800
MAR09454	D-ornithine	MAM01740
MAR09455	D-arginine	MAM01640
MAR09456	ADP-glucose	MAM01286
MAR09457	ADP-mannose	MAM01287
MAR09458	D-ribulose	MAM01743
MAR09460	creatinine	MAM01621
MAR09461	glucose-1,6-bisphosphate	MAM01966
MAR09462	hyodeoxycholate	MAM02155
MAR09463	glycodeoxycholate	MAM01989
MAR09681	L-iduronic acid	MAM02384
MAR09682	4-nitrophenyl-phosphate	MAM01020
MAR09683	5-L-gamma-glutamyl	MAM01111
MAR09684	agmatine	MAM01303
MAR09685	D-glucitol	MAM01682
MAR09686	G00022	MAM01870
MAR09687	G00032	MAM01872
MAR09688	G00086	MAM01887
MAR09689	N-acetyl-D-mannosamine	MAM02524
MAR09690	orotate	MAM02659
MAR09691	pyridoxal-phosphate	MAM02814
MAR09692	spermine dialdehyde	MAM02924
MAR09693	xanthurenate	MAM03151
MAR09694	homovanillate	MAM02137
MAR09695	G00040	MAM01874
MAR09696	G00079	MAM01881
MAR09697	G00082	MAM01883
MAR09698	G00083	MAM01884
MAR09699	V3(NeuAc)2-Gb5Cer	MAM03131
MAR09700	n5m2masn	MAM02516
MAR09701	coproporphyrin I	MAM01603
MAR09702	coproporphyrin III	MAM01604
MAR09703	gpi_sig	MAM02022
MAR09704	dgpi_prot heparan sulfate	MAM01687
MAR09705	dem2emgacpail_prot heparan sulfate	MAM01665
MAR09706	glcnac-alpha-1,4-core 2	MAM01955
MAR09707	3-deoxy-D-glycero-D-galacto-2-nonulosonic acid	MAM00771
MAR09708	eumelanin	MAM02458
MAR09709	core 5	MAM01610
MAR09710	core 7	MAM01612
MAR09711	core 8	MAM01613
MAR09712	mem2emgacpail_prot heparan sulfate	MAM02462
MAR09713	4-hydroxyretinoic acid	MAM01006
MAR09714	m3gacpail_prot heparan sulfate	MAM02434
MAR09715	spermine	MAM02926
MAR09721	dolichol	MAM01730
MAR09729	glycogen	MAM03161
MAR09730	albumin	MAM01308
MAR00565	Fatty Acid 9-Cis-Retinol	MAM03315
MAR00566	adrenic acid	MAM01291
MAR00567	eicosanoate	MAM01771
MAR00568	arachidonate	MAM01362
MAR00569	ATP	MAM01371
MAR00571	DPA	MAM01741
MAR00572	ceramide-1P pool	MAM01431
MAR00573	DHA	MAM01689
MAR00574	1,2-diacylglycerol-LD-TAG pool	MAM00240
MAR00575	(4Z,7Z,10Z,13Z,16Z)-DPA	MAM00094
MAR00576	dihomo-gamma-linolenate	MAM01696
MAR00577	omega-3-arachidonic acid	MAM02648
MAR00583	elaidate	MAM01778
MAR00585	Ley Glycolipid	MAM03577
MAR00595	Leb Glycolipid	MAM03578
MAR00603	(S)-Glycerate	MAM03620
MAR00606	glycogenin G4G7	MAM01992
MAR00608	Glycogen, Structure 4 (Glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})	MAM03622
MAR00609	Glycogen, Structure 5 (Glycogenin-2[1,4-Glc])	MAM03623
MAR00611	palmitate	MAM02674
MAR00617	palmitolate	MAM02675
MAR00618	cerotic acid	MAM01432
MAR00619	histamine	MAM02124
MAR00620	margaric acid	MAM02456
MAR00621	lignocerate	MAM02385
MAR00624	(6Z,9Z)-octadecadienoic acid	MAM00104
MAR00626	gamma-linolenate	MAM01932
MAR00628	2-lysolecithin pool	MAM00656
MAR00631	1-acylglycerol-3P pool	MAM10006
MAR00637	nervonic acid	MAM02564
MAR00639	stearate	MAM02938
MAR00650	oleate	MAM02646
MAR00655	PC-LD pool	MAM02684
MAR00656	PE-LD pool	MAM02685
MAR00658	PG-CL pool	MAM02715
MAR00659	Phytanate	MAM03884
MAR00661	PS-LD pool	MAM02808
MAR00662	pentadecylic acid	MAM02690
MAR00666	retinyl-ester	MAM02838
MAR00695	stearidonic acid	MAM02939
MAR00696	TAG-VLDL pool	MAM02959
MAR00697	(6Z,9Z,12Z,15Z,18Z,21Z)-THA	MAM00114
MAR00698	(9Z,12Z,15Z,18Z,21Z)-TPA	MAM00135
MAR00699	(6Z,9Z,12Z,15Z,18Z)-TPA	MAM00111
MAR00700	(9Z,12Z,15Z,18Z)-TTA	MAM00132
MAR00701	EPA	MAM01784
MAR00702	myristic acid	MAM02494
MAR00704	cis-vaccenic acid	MAM01585
MAR00714	cholesterol-ester pool	MAM01451
MAR00720	cholest-5-ene-3beta,7alpha,24(S)-triol	MAM01446
MAR00721	cholest-5-ene-3beta,7alpha,25-triol	MAM01447
MAR00722	cholest-5-ene-3beta,7alpha,27-triol	MAM01448
MAR01869	4-aminobutanal	MAM00969
MAR01871	6-[(1S,2R)-1,2-dihydroxy-3-triphosphooxypropyl]-7,8-dihydropterin	MAM01155
MAR01873	CTP	MAM01623
MAR01912	dGMP	MAM01686
MAR01918	dGTP	MAM01688
MAR01921	glycerone	MAM01984
MAR01922	DHAP	MAM01690
MAR01923	dTMP	MAM01752
MAR01938	dTTP	MAM01753
MAR01939	FAD	MAM01802
MAR01946	formaldehyde	MAM01831
MAR01947	glucose-1-phosphate	MAM01967
MAR01954	isomaltose	MAM02185
MAR01955	3-keto-beta-D-galactose	MAM00810
MAR01956	lactose-6-phosphate	MAM02333
MAR01957	3-ketolactose	MAM00812
MAR01961	gamma-glutamyl-beta-cyanoalanine	MAM01926
MAR01964	uroporphyrinogen I	MAM03127
MAR01965	coproporphyrinogen I	MAM01605
MAR01966	gamma-glutamyl-3-aminopropiononitrile	MAM01925
MAR01972	GM2	MAM02011
MAR01975	GM1	MAM02008
MAR01984	PRPP	MAM02806
MAR01986	UDP-glucose	MAM03108
MAR04092	prostaglandin H2	MAM02794
MAR04094	prostaglandin I2	MAM02795
MAR04096	CDP	MAM01424
MAR04098	dTDP	MAM01747
MAR04100	L-3-cyanoalanine	MAM02326
MAR04102	antichymotrypsin	MAM01343
MAR04104	antitrypsin	MAM01345
MAR04110	apoA1	MAM01350
MAR04117	fibrinogen	MAM01827
MAR04119	haptoglobin	MAM02044
MAR04129	plasminogen	MAM02753
MAR04138	prothrombin	MAM02802
MAR04140	[apotransferin]	MAM00186
MAR04142	chitobiose	MAM01439
MAR04144	Chenodeoxycholate	MAM03318
MAR04146	taurolithocholate	MAM02965
MAR04148	glycolithocholate	MAM02000
MAR04150	tauroursodeoxycholate	MAM02966
MAR04151	glycoursodeoxycholate	MAM02004
MAR04153	sulfochenodeoxycholate	MAM02950
MAR04164	lithocholate	MAM02402
MAR04173	ursodeoxycholate	MAM03129
MAR04178	sulfoglycolithocholate	MAM02951
MAR04181	sulfotaurolithocholate	MAM02952
MAR04195	reverse triiodthyronine	MAM02839
MAR04203	prostaglandin A1	MAM02776
MAR04213	prostaglandin A2	MAM02777
MAR04215	prostaglandin B1	MAM02778
MAR04217	prostaglandin B2	MAM02779
MAR04221	prostaglandin C1	MAM02780
MAR04223	prostaglandin C2	MAM02781
MAR04230	prostaglandin E3	MAM02787
MAR04234	prostaglandin F1alpha	MAM02788
MAR04238	prostaglandin G2	MAM02792
MAR04240	malonyl-CoA	MAM02444
MAR04247	eicosanoyl-CoA	MAM01773
MAR04256	CoA	MAM01597
MAR04258	3-oxodocosanoyl-CoA	MAM00866
MAR04272	spermine monoaldehyde	MAM02925
MAR04273	spermidine monoaldehyde 2	MAM02922
MAR04286	spermidine dialdehyde	MAM02920
MAR04289	hypothiocyanite	MAM02158
MAR04292	spermidine monoaldehyde 1	MAM02921
MAR04293	maltopentaose	MAM02449
MAR04294	beta-casomorphin	MAM01387
MAR04298	beta-casomorphin (1-6)	MAM01386
MAR04305	neocasomorphin	MAM02563
MAR04307	neocasomorphin (1-5)	MAM02562
MAR04309	apelin-13	MAM01348
MAR04311	apelin-(1-12)	MAM01347
MAR04322	maltoheptaose	MAM02446
MAR04325	maltononaose	MAM02448
MAR04327	Cyanosulfurous Acid Anion	MAM03330
MAR04334	Cyanate	MAM03525
MAR04337	2,3-cyclic-UMP	MAM00570
MAR04339	3-UMP	MAM00921
MAR04341	kinetensin	MAM02318
MAR04349	kinetensin 1-7	MAM02315
MAR04353	kinetensin 1-8	MAM02316
MAR04357	neuromedin N	MAM02570
MAR04359	neuromedin N(1-4)	MAM02569
MAR04361	kinetensin 1-3	MAM02314
MAR04362	kinetensin 4-8	MAM02317
MAR04364	N-acetyl-seryl-aspartyl-lysyl-proline	MAM02551
MAR04366	N-acetyl-seryl-aspartate	MAM02550
MAR04369	lysyl-proline	MAM02429
MAR04374	hypochlorite	MAM02156
MAR04376	nitryl-chloride	MAM02591
MAR04378	gamma-CEHC-glucuronide	MAM01924
MAR04380	gamma-carboxyethyl-hydroxychroman	MAM01923
MAR04382	UDP-galactose	MAM03107
MAR04384	ceramide pool	MAM01430
MAR04389	D-galactosyl-N-acylsphingosine	MAM01679
MAR04392	alloxan	MAM01315
MAR04405	alpha-CEHC-glucuronide	MAM01321
MAR04407	3-carboxy-alpha-chromanol	MAM00766
MAR04409	hepoxilin A3	MAM02096
MAR04815	3-Hydroxy Butyryl Carnitine	MAM03201
MAR04820	3-Hydroxydodecanoylcarnitine	MAM03202
MAR04821	3-Hydroxydecanoylcarnitine	MAM03204
MAR04822	3-Hydroxyhexadecenoylcarnitine	MAM03217
MAR04823	3-Hydroxyhexadecanoylcarnitine	MAM03219
MAR04824	3-Hydroxy-Isovaleryl Carnitine	MAM03243
MAR04825	3-Hydroxyoctadecadienoylcarnitine	MAM03250
MAR04826	3-Hydroxyoctadecanoyl Carnitine	MAM03251
MAR04828	3-Hydroxy-Tetradecanoyl Carnitine	MAM03262
MAR04829	3-Hydroxy Tetradecenoyl-7-Carnitine	MAM03264
MAR04830	3-Hydroxy Trans7,10-Hexadecadienoyl Carnitine	MAM03266
MAR04853	3-Hydroxy Trans5,8Tetradecadienoyl Carnitine	MAM03268
MAR04859	Decanoyl Carnitine	MAM03488
MAR04866	Sebacoyl Carnitine	MAM03489
MAR04869	Dodecanedioyl Carnitine	MAM03490
MAR04884	Hexadecanedioic Acid Mono-L-Carnitine Ester	MAM03493
MAR04886	Malonyl Carnitine	MAM03494
MAR04889	O-butanoylcarnitine	MAM02635
MAR04891	Succinyl Carnitine	MAM03495
MAR04895	Tiglyl Carnitine	MAM03496
MAR04897	Glutaryl Carnitine	MAM03497
MAR04899	Hexanoyl Carnitine	MAM03498
MAR04901	Adipoyl Carnitine	MAM03499
MAR04918	L-octanoylcarnitine	MAM02409
MAR04920	Suberyl Carnitine	MAM03502
MAR04923	Lauroyl Carnitine	MAM03540
MAR04927	cis-erucic acid	MAM01583
MAR04929	behenic acid	MAM01373
MAR04936	Docosanedioicacid	MAM03560
MAR04943	Isovaleryl Carnitine	MAM03706
MAR04950	Tetradecadienoyl Carnitine	MAM03975
MAR08386	trans-4-hydroxy-L-proline	MAM03037
MAR08422	D-alanyl-D-alanine	MAM03164
MAR08423	Beta-Glucans	MAM03483
MAR08644	carnosine	MAM01423
MAR08646	3alpha,12alpha-dihydroxy-5beta-cholanate	MAM00745
