Pathway	ManualCategoryLvl1	ManualCategoryLvl2	KEGGCategory	ReactomeID	BioCycID	HumanCycCategory	KEGGID
Vitamin E metabolism	Metabolism of cofactors and vitamins		Metabolism of cofactors and vitamins				
Vitamin B12 metabolism	Metabolism of cofactors and vitamins		Metabolism of cofactors and vitamins				
Vitamin A metabolism	Metabolism of cofactors and vitamins		Metabolism of cofactors and vitamins				
Nicotinate and nicotinamide metabolism	Metabolism of cofactors and vitamins		Metabolism of cofactors and vitamins				hsa00760
Miscellaneous	Miscellaneous		Miscellaneous				
ROS detoxification	Miscellaneous		Miscellaneous				
Nucleotide metabolism	Nucleotide metabolism		Nucleotide metabolism				hsa01232
Purine metabolism	Nucleotide metabolism		Nucleotide metabolism				hsa00230
Pyrimidine metabolism	Nucleotide metabolism		Nucleotide metabolism				hsa00240
Xenobiotics metabolism	Xenobiotics metabolism		Xenobiotics metabolism				
Heme degradation	Energy metabolism						
Triacylglycerol synthesis	Lipid metabolism						
Terpenoid backbone biosynthesis	Metabolism of terpenoids and polyketides		Metabolism of terpenoids and polyketides				hsa00900
Beta oxidation of odd-chain fatty acids (peroxisomal)	Lipid metabolism		Lipid metabolism				
Pantothenate and CoA biosynthesis	Metabolism of cofactors and vitamins		Metabolism of cofactors and vitamins				hsa00770
Heme synthesis	Energy metabolism						
Phosphatidylinositol phosphate metabolism	Lipid metabolism						
Tryptophan metabolism	Amino acid metabolism		Amino acid metabolism				hsa00380
Alkaloids biosynthesis	Amino acid derivatives						
Hippurate metabolism	Amino acid derivatives						
Protein modification	Protein metabolism						
Lipoic acid metabolism	Metabolism of cofactors and vitamins		Metabolism of cofactors and vitamins				hsa00785
CoA catabolism	Metabolism of cofactors and vitamins						
CoA synthesis	Metabolism of cofactors and vitamins						
Vitamin B2 metabolism	Metabolism of cofactors and vitamins						
Beta-alanine metabolism	Amino acid derivatives						
Urea cycle	Amino acid derivatives			R-HSA-70635			
Vitamin C metabolism	Metabolism of cofactors and vitamins						
Riboflavin metabolism	Metabolism of cofactors and vitamins						hsa00740
Pool reactions	Miscellaneous						
Artificial reactions	Miscellaneous						
Isolated	Miscellaneous						
Dietary fiber binding	Miscellaneous						
Exchange/demand reactions	Miscellaneous						
Transport reactions	Miscellaneous						
