ID	Hits	Coverage	P-value	P-adjust
Purine synthesis	1/20	20/29	0.22958460568107422	0.35713160883722656
Pyrimidine catabolism	8/36	36/47	5.3422735808163953e-11	7.479183013142954e-10
Pyrimidine synthesis	3/26	26/34	0.00309596651857719	0.00988622053846304
Transport, extracellular	3/371	371/407	0.9460006154891144	0.9460006154891144
Transport, mitochondrial	5/100	100/152	0.0035307930494510855	0.00988622053846304
Transport, nuclear	3/27	27/52	0.003461607009951492	0.00988622053846304
	2/257	257/445	0.16762207581107866	0.3352441516221573
Exchange/demand reaction	2/621	621/639	0.9809376767506918	0.9809376767506918
Blood group synthesis	1/21	21/51	0.09730082394484613	0.13378863292416343
Exchange/demand reaction	3/621	621/639	0.9715206750538851	0.9715206750538851
Galactose metabolism	1/17	17/20	0.07927737438280569	0.12457873117298036
Glycosphingolipid metabolism	3/5	5/8	2.4458474096947275e-07	2.6904321506642e-06
Keratan sulfate synthesis	1/4	4/70	0.019047134536894078	0.04190369598116697
N-glycan synthesis	1/14	14/62	0.06560347310332176	0.12027303402275658
O-glycan synthesis	1/3	3/13	0.014308231805188256	0.039347637464267705
Sphingolipid metabolism	3/37	37/77	0.00019004234373328036	0.0006968219270220281
Transport, endoplasmic reticular	1/69	69/116	0.295562780317043	0.32511905834874727
Transport, golgi apparatus	3/35	35/51	0.0001600807129645199	0.0006968219270220281
Transport, lysosomal	1/33	33/59	0.1499568858247856	0.1832806382302935
Exchange/demand reaction	1/621	621/639	0.9904306220095693	0.9904306220095693
Transport, extracellular	1/371	371/407	0.5917065390749601	0.8875598086124401
Triacylglycerol synthesis	1/12	12/15	0.019138755980861243	0.05741626794258373
	1/257	257/445	0.6521546387024779	0.7825855664429735
Exchange/demand reaction	2/621	621/639	0.9809376767506918	0.9809376767506918
Histidine metabolism	1/15	15/26	0.04731186083128238	0.14193558249384716
Transport, extracellular	2/371	371/407	0.34973070200916173	0.5245960530137427
Transport, mitochondrial	1/100	100/152	0.2937564649352104	0.5245960530137427
beta-Alanine metabolism	2/19	19/25	0.0008713331397037466	0.0052279988382224795
Exchange/demand reaction	4/621	621/639	0.9621791301014438	0.9621791301014438
Heme degradation	1/11	11/14	0.06851000935615029	0.10276501403422543
Heme synthesis	4/10	10/17	3.2924868976659795e-08	2.963238207899382e-07
Miscellaneous	2/33	33/45	0.01509427636429486	0.030482949974189252
Transport, extracellular	4/371	371/407	0.12177084996725154	0.15656252138646626
Transport, mitochondrial	1/100	100/152	0.5018266756504524	0.5645550101067589
Tyrosine metabolism	2/35	35/58	0.01693497220788292	0.030482949974189252
Vitamin B2 metabolism	2/14	14/16	0.0027113991775838085	0.008134197532751426
Vitamin C metabolism	2/9	9/14	0.001084254504533637	0.004879145270401367
Exchange/demand reaction	1/621	621/639	0.9904306220095693	0.9904306220095693
N-glycan degradation	1/6	6/18	0.009569377990430622	0.0478468899521531
N-glycan synthesis	1/14	14/62	0.022328548644338114	0.055821371610845286
Transport, extracellular	1/371	371/407	0.5917065390749601	0.7396331738437001
Transport, lysosomal	1/33	33/59	0.05263157894736842	0.08771929824561403
	2/257	257/445	0.3660866135713957	0.4224076310439181
Arginine and Proline Metabolism	1/27	27/46	0.12389256615252917	0.2505640429857683
Exchange/demand reaction	3/621	621/639	0.9715206750538851	0.9715206750538851
Glycerophospholipid metabolism	1/33	33/53	0.1499568858247856	0.2505640429857683
Glycine, serine, alanine and threonine metabolism	2/26	26/53	0.004840943485638289	0.03630707614228716
Histidine metabolism	1/15	15/26	0.0701763761713316	0.2505640429857683
Methionine and cysteine metabolism	3/34	34/52	0.0001463595089961325	0.0021953926349419874
NAD metabolism	1/20	20/30	0.09281721876576424	0.2505640429857683
Sphingolipid metabolism	1/37	37/77	0.16704269532384552	0.2505640429857683
Transport, endoplasmic reticular	1/69	69/116	0.295562780317043	0.3694534753963037
Transport, extracellular	3/371	371/407	0.20648100646620912	0.2815650088175579
Transport, mitochondrial	1/100	100/152	0.4067554305455768	0.43580938987026085
Tyrosine metabolism	1/35	35/58	0.15852870049069817	0.2505640429857683
Ubiquinone synthesis	1/13	13/30	0.0610156014491646	0.2505640429857683
Urea cycle	1/32	32/47	0.14564923490835716	0.2505640429857683
	5/257	257/445	0.0449294457195961	0.11981185525225628
Exchange/demand reaction	5/621	621/639	0.9988729701571827	0.9988729701571827
Fatty acid oxidation	2/96	96/337	0.23039605973638447	0.46079211947276894
Transport, endoplasmic reticular	1/69	69/116	0.5046557198859455	0.6023522136032492
Transport, extracellular	4/371	371/407	0.527058186902843	0.6023522136032492
Transport, mitochondrial	4/100	100/152	0.007092899634280421	0.028371598537121685
Transport, peroxisomal	1/39	39/95	0.3208504787581559	0.5133607660130495
Valine, leucine, and isoleucine metabolism	3/23	23/48	0.0008053562288428695	0.006442849830742956
	4/257	257/445	0.3082982948192608	0.3525312492307877
Alanine and aspartate metabolism	1/23	23/28	0.23117418340450224	0.31088941906122713
Aminosugar metabolism	1/23	23/40	0.23117418340450224	0.31088941906122713
Bile acid synthesis	1/32	32/64	0.308235795623197	0.3525312492307877
C5-branched dibasic acid metabolism	1/6	6/10	0.06539759734855938	0.28068815925678614
Cholesterol metabolism	1/17	17/49	0.17580908534030876	0.31088941906122713
Citric acid cycle	1/21	21/28	0.2130847702179012	0.31088941906122713
CoA catabolism	2/11	11/13	0.00560820892075016	0.10936007395462813
CoA synthesis	2/16	16/21	0.011911430051666127	0.15484859067165965
Exchange/demand reaction	7/621	621/639	0.9346024026514406	0.9591972027212153
Fatty acid oxidation	3/96	96/337	0.07655219361672125	0.28068815925678614
Fatty acid synthesis	4/14	14/91	5.2839007580615445e-06	0.00020607212956440024
Glycerophospholipid metabolism	1/33	33/53	0.31637419802763	0.3525312492307877
Glycine, serine, alanine and threonine metabolism	1/26	26/53	0.2576396415928927	0.3241272910362199
Glycolysis/gluconeogenesis	2/32	32/49	0.045153992939998576	0.28068815925678614
Histidine metabolism	1/15	15/26	0.1566105930148112	0.31088941906122713
Lysine metabolism	1/12	12/23	0.12709454226915792	0.30979294678107244
Nucleotide interconversion	2/52	52/78	0.10824309070530842	0.30979294678107244
Phenylalanine metabolism	1/16	16/24	0.16625720387902096	0.31088941906122713
Phosphatidylinositol phosphate metabolism	1/12	12/46	0.12709454226915792	0.30979294678107244
Propanoate metabolism	1/16	16/26	0.16625720387902096	0.31088941906122713
Purine synthesis	1/20	20/29	0.20390409253711014	0.31088941906122713
Pyrimidine catabolism	2/36	36/47	0.056120016977885254	0.28068815925678614
Pyrimidine synthesis	1/26	26/34	0.2576396415928927	0.3241272910362199
Pyruvate metabolism	1/20	20/33	0.20390409253711014	0.31088941906122713
R group synthesis	1/5	5/9	0.054759846424071404	0.28068815925678614
Sphingolipid metabolism	1/37	37/77	0.34811265477649556	0.3771220426745368
Squalene and cholesterol synthesis	1/8	8/16	0.0863655874636265	0.28068815925678614
Transport, endoplasmic reticular	1/69	69/116	0.5596939732319518	0.5899477015147601
Transport, extracellular	2/371	371/407	0.9794921751156901	0.9794921751156901
Transport, lysosomal	1/33	33/59	0.31637419802763	0.3525312492307877
Transport, mitochondrial	3/100	100/152	0.08482642623188905	0.28068815925678614
Transport, nuclear	2/27	27/52	0.03283167947959234	0.28068815925678614
Transport, peroxisomal	2/39	39/95	0.06493906495688137	0.28068815925678614
Triacylglycerol synthesis	1/12	12/15	0.12709454226915792	0.30979294678107244
Tryptophan metabolism	1/21	21/46	0.2130847702179012	0.31088941906122713
Ubiquinone synthesis	1/13	13/30	0.13703005154414308	0.31088941906122713
Valine, leucine, and isoleucine metabolism	1/23	23/48	0.23117418340450224	0.31088941906122713
Vitamin A metabolism	1/21	21/34	0.2130847702179012	0.31088941906122713
	4/257	257/445	0.9238695871658109	0.9238695871658109
Bile acid synthesis	2/32	32/64	0.17528078332525426	0.4866452578439465
Dietary fiber binding	1/11	11/11	0.235498607167598	0.4866452578439465
Eicosanoid metabolism	2/28	28/38	0.14109498875978885	0.4866452578439465
Exchange/demand reaction	15/621	621/639	0.8642653824056141	0.9238695871658109
Fatty acid oxidation	1/96	96/337	0.919826528173181	0.9238695871658109
Folate metabolism	1/15	15/32	0.3074560556119434	0.4866452578439465
Glycine, serine, alanine and threonine metabolism	1/26	26/53	0.4740951436448813	0.6564394296621434
Histidine metabolism	1/15	15/26	0.3074560556119434	0.4866452578439465
Pentose phosphate pathway	2/22	22/44	0.09363586211094362	0.4866452578439465
Phenylalanine metabolism	1/16	16/24	0.32443017189596435	0.4866452578439465
Tetrahydrobiopterin metabolism	1/13	13/24	0.27230703659760275	0.4866452578439465
Transport, endoplasmic reticular	1/69	69/116	0.8296443503437286	0.9238695871658109
Transport, extracellular	14/371	371/407	0.003986716881222938	0.07176090386201289
Transport, mitochondrial	4/100	100/152	0.2054976935432816	0.4866452578439465
Transport, peroxisomal	2/39	39/95	0.23806795829329933	0.4866452578439465
Urea cycle	1/32	32/47	0.5483865552421984	0.7050684281685408
beta-Alanine metabolism	2/19	19/25	0.07224349567493268	0.4866452578439465
Exchange/demand reaction	2/621	621/639	0.9809376767506918	0.9809376767506918
Transport, extracellular	2/371	371/407	0.34973070200916173	0.4663076026788823
Tyrosine metabolism	2/35	35/58	0.0030318316849340895	0.012127326739736358
Ubiquinone synthesis	1/13	13/30	0.041069854421123965	0.08213970884224793
	1/257	257/445	0.6521546387024779	0.6847623706376018
Arginine and Proline Metabolism	1/27	27/46	0.08433587599553631	0.14931898436186314
Bile acid synthesis	1/32	32/64	0.09954598957457542	0.14931898436186314
Butanoate metabolism	1/6	6/11	0.019062323249308285	0.133436262745158
Cholesterol metabolism	1/17	17/49	0.05353348517969335	0.14931898436186314
Citric acid cycle	1/21	21/28	0.0659155876912729	0.14931898436186314
Exchange/demand reaction	2/621	621/639	0.9809376767506918	0.9809376767506918
Fatty acid oxidation	1/96	96/337	0.28298454530168	0.33014863618529333
Glycine, serine, alanine and threonine metabolism	1/26	26/53	0.08127856673341792	0.14931898436186314
Glycolysis/gluconeogenesis	1/32	32/49	0.09954598957457542	0.14931898436186314
Oxidative phosphorylation	1/13	13/17	0.041069854421123965	0.14931898436186314
Propanoate metabolism	1/16	16/26	0.0504252207632063	0.14931898436186314
R group synthesis	1/5	5/9	0.01589800816301573	0.133436262745158
Sphingolipid metabolism	1/37	37/77	0.1146287152676929	0.1583218047296574
Transport, endoplasmic reticular	1/69	69/116	0.20814161456502134	0.25711611210973223
Transport, extracellular	2/371	371/407	0.34973070200916173	0.3865444601153893
Transport, peroxisomal	1/39	39/95	0.12062613693688183	0.1583218047296574
Tryptophan metabolism	1/21	21/46	0.0659155876912729	0.14931898436186314
Urea cycle	1/32	32/47	0.09954598957457542	0.14931898436186314
Valine, leucine, and isoleucine metabolism	1/23	23/48	0.0720760658544415	0.14931898436186314
Vitamin B2 metabolism	2/14	14/16	0.0004636919047546254	0.009737529999847134
Exchange/demand reaction	2/621	621/639	0.9809376767506918	0.9809376767506918
Fructose and mannose metabolism	2/20	20/36	0.000968147933004163	0.003872591732016652
Galactose metabolism	1/17	17/20	0.05353348517969335	0.1070669703593867
Transport, extracellular	2/371	371/407	0.34973070200916173	0.4663076026788823
	2/257	257/445	0.9604723500867705	0.9604723500867705
Arginine and Proline Metabolism	1/27	27/46	0.3581702950357599	0.5056521812269552
Bile acid synthesis	1/32	32/64	0.41007022667481263	0.5467603022330835
Blood group synthesis	1/21	21/51	0.29048844202125496	0.5056521812269552
C5-branched dibasic acid metabolism	2/6	6/10	0.003323546265824138	0.01595302207595586
Citric acid cycle	2/21	21/28	0.040911512078982706	0.14026804141365498
Exchange/demand reaction	10/621	621/639	0.9076874846507673	0.9471521578964528
Fructose and mannose metabolism	2/20	20/36	0.03733420300193152	0.14026804141365498
Glycolysis/gluconeogenesis	2/32	32/49	0.08792427537095603	0.2637728261128681
N-glycan synthesis	1/14	14/62	0.20345536630671684	0.44390261739647313
NAD metabolism	1/20	20/30	0.2786038263097181	0.5056521812269552
Nucleotide interconversion	7/52	52/78	1.8039452315835835e-06	1.4431561852668668e-05
Nucleotide salvage pathway	5/8	8/8	1.7402342583613068e-08	2.0882811100335682e-07
Pentose phosphate pathway	1/22	22/44	0.30219655353905595	0.5056521812269552
Purine catabolism	9/29	29/33	2.4958479696902236e-12	5.990035127256537e-11
Purine synthesis	3/20	20/29	0.002895884483040445	0.01595302207595586
Pyrimidine synthesis	1/26	26/34	0.3473102323460097	0.5056521812269552
Sphingolipid metabolism	1/37	37/77	0.45816206362398926	0.561579045823504
Tetrahydrobiopterin metabolism	1/13	13/24	0.19026754124556983	0.44390261739647313
Transport, extracellular	5/371	371/407	0.8214288442940352	0.8961041937753111
Transport, golgi apparatus	2/35	35/51	0.10279317595310465	0.27411513587494574
Transport, mitochondrial	2/100	100/152	0.491381665095566	0.561579045823504
Transport, nuclear	1/27	27/52	0.3581702950357599	0.5056521812269552
Transport, peroxisomal	1/39	39/95	0.47638912320856414	0.561579045823504
	1/257	257/445	0.4098883572567783	0.6831472620946305
Cysteine Metabolism	1/7	7/9	0.011164274322169057	0.055821371610845286
Exchange/demand reaction	1/621	621/639	0.9904306220095693	0.9904306220095693
Methionine and cysteine metabolism	1/34	34/52	0.05422647527910685	0.1355661881977671
Transport, extracellular	1/371	371/407	0.5917065390749601	0.7396331738437001
Exchange/demand reaction	2/621	621/639	0.9809376767506918	0.9809376767506918
Hyaluronan metabolism	2/6	6/10	7.643273155296023e-05	0.00022929819465888072
Transport, lysosomal	1/33	33/59	0.10257272574407263	0.15385908861610895
	1/257	257/445	0.6521546387024779	0.6657411936754463
Aminosugar metabolism	1/23	23/40	0.0720760658544415	0.13226483056472524
Arginine and Proline Metabolism	1/27	27/46	0.08433587599553631	0.13226483056472524
Bile acid synthesis	1/32	32/64	0.09954598957457542	0.13226483056472524
Butanoate metabolism	1/6	6/11	0.019062323249308285	0.13226483056472524
Cholesterol metabolism	1/17	17/49	0.05353348517969335	0.13226483056472524
Citric acid cycle	1/21	21/28	0.0659155876912729	0.13226483056472524
Eicosanoid metabolism	1/28	28/38	0.08738808974221786	0.13226483056472524
Exchange/demand reaction	2/621	621/639	0.9809376767506918	0.9809376767506918
Fatty acid oxidation	1/96	96/337	0.28298454530168	0.3014400591257026
Fatty acid synthesis	1/14	14/91	0.0441934053839216	0.13226483056472524
Folate metabolism	1/15	15/32	0.04731186083128238	0.13226483056472524
Fructose and mannose metabolism	1/20	20/36	0.06282770533653331	0.13226483056472524
Glutamate metabolism	1/20	20/25	0.06282770533653331	0.13226483056472524
Glutathione metabolism	1/16	16/18	0.0504252207632063	0.13226483056472524
Glycerophospholipid metabolism	1/33	33/53	0.10257272574407263	0.13226483056472524
Glycine, serine, alanine and threonine metabolism	1/26	26/53	0.08127856673341792	0.13226483056472524
Glycolysis/gluconeogenesis	1/32	32/49	0.09954598957457542	0.13226483056472524
Glyoxylate and dicarboxylate metabolism	1/12	12/22	0.037941207942889466	0.13226483056472524
Histidine metabolism	1/15	15/26	0.04731186083128238	0.13226483056472524
Lysine metabolism	1/12	12/23	0.037941207942889466	0.13226483056472524
Methionine and cysteine metabolism	1/34	34/52	0.10559436639813298	0.13266984496175682
Miscellaneous	1/33	33/45	0.10257272574407263	0.13226483056472524
NAD metabolism	2/20	20/30	0.000968147933004163	0.047439248717203994
Nucleotide interconversion	1/52	52/78	0.15911256503151577	0.17719353833055165
Oxidative phosphorylation	1/13	13/17	0.041069854421123965	0.13226483056472524
Pentose phosphate pathway	1/22	22/44	0.06899837453057563	0.13226483056472524
Phenylalanine metabolism	1/16	16/24	0.0504252207632063	0.13226483056472524
Propanoate metabolism	1/16	16/26	0.0504252207632063	0.13226483056472524
Purine catabolism	1/29	29/33	0.09043520797346255	0.13226483056472524
Pyrimidine catabolism	1/36	36/47	0.11162236115994315	0.13340233406920035
Pyruvate metabolism	1/20	20/33	0.06282770533653331	0.13226483056472524
Sphingolipid metabolism	1/37	37/77	0.1146287152676929	0.13373350114564173
Starch and sucrose metabolism	1/24	24/30	0.07514866166287051	0.13226483056472524
Steroid metabolism	1/32	32/51	0.09954598957457542	0.13226483056472524
Taurine and hypotaurine metabolism	1/9	9/13	0.02852469541556476	0.13226483056472524
Tetrahydrobiopterin metabolism	1/13	13/24	0.041069854421123965	0.13226483056472524
Transport, endoplasmic reticular	1/69	69/116	0.20814161456502134	0.22664309141524544
Transport, extracellular	2/371	371/407	0.34973070200916173	0.3646128595414665
Transport, nuclear	1/27	27/52	0.08433587599553631	0.13226483056472524
Transport, peroxisomal	1/39	39/95	0.12062613693688183	0.13745769092807464
Tryptophan metabolism	1/21	21/46	0.0659155876912729	0.13226483056472524
Tyrosine metabolism	1/35	35/58	0.1086109115367565	0.13304836663252673
Ubiquinone synthesis	1/13	13/30	0.041069854421123965	0.13226483056472524
Urea cycle	1/32	32/47	0.09954598957457542	0.13226483056472524
Valine, leucine, and isoleucine metabolism	1/23	23/48	0.0720760658544415	0.13226483056472524
Vitamin A metabolism	1/21	21/34	0.0659155876912729	0.13226483056472524
Vitamin B2 metabolism	1/14	14/16	0.0441934053839216	0.13226483056472524
beta-Alanine metabolism	1/19	19/25	0.05973472746635686	0.13226483056472524
	2/257	257/445	0.16762207581107866	0.26819532129772583
Biotin metabolism	1/8	8/12	0.025375666875582802	0.15176483177155786
Exchange/demand reaction	1/621	621/639	0.999923567268447	0.999923567268447
Lysine metabolism	1/12	12/23	0.037941207942889466	0.15176483177155786
Transport, extracellular	1/371	371/407	0.8336823761407586	0.9527798584465812
Transport, mitochondrial	1/100	100/152	0.2937564649352104	0.39167528658028056
Transport, nuclear	1/27	27/52	0.08433587599553631	0.22489566932143015
Transport, peroxisomal	1/39	39/95	0.12062613693688183	0.24125227387376366
	2/257	257/445	0.3660866135713957	0.5423405740607691
Biotin metabolism	2/8	8/12	0.00042528394759771925	0.003402271580781754
Exchange/demand reaction	2/621	621/639	0.999771680144305	0.999771680144305
Lysine metabolism	1/12	12/23	0.05641273675038599	0.15043396466769596
Transport, extracellular	1/371	371/407	0.9324085176636042	0.999771680144305
Transport, mitochondrial	1/100	100/152	0.4067554305455768	0.5423405740607691
Transport, nuclear	2/27	27/52	0.005222495681550667	0.02088998272620267
Transport, peroxisomal	1/39	39/95	0.17549906599202045	0.3509981319840409
	1/257	257/445	0.7951886512680191	0.9087870300205932
Alanine and aspartate metabolism	1/23	23/28	0.10622366663099805	0.19822810584404665
Arginine and Proline Metabolism	1/27	27/46	0.12389256615252917	0.19822810584404665
Exchange/demand reaction	3/621	621/639	0.9715206750538851	0.9715206750538851
Glycine, serine, alanine and threonine metabolism	1/26	26/53	0.11949737835730773	0.19822810584404665
Transport, extracellular	3/371	371/407	0.20648100646620912	0.27530800862161214
Transport, mitochondrial	2/100	100/152	0.06775853371447789	0.19822810584404665
Urea cycle	2/32	32/47	0.0073394989070119385	0.05871599125609551
	3/257	257/445	0.9675447107316293	0.9933937347040339
Bile acid synthesis	3/32	32/64	0.029963438285261025	0.17978062971156616
Biotin metabolism	1/8	8/12	0.1661327314807731	0.4983981944423193
Dietary fiber binding	1/11	11/11	0.22152931261418188	0.5130807114477682
Eicosanoid metabolism	2/28	28/38	0.12565911244347552	0.4523728047965119
Exchange/demand reaction	13/621	621/639	0.9933937347040339	0.9933937347040339
Fatty acid oxidation	1/96	96/337	0.9049393844683945	0.9933937347040339
Glycine, serine, alanine and threonine metabolism	1/26	26/53	0.4508012317790666	0.6419001427080018
Lysine metabolism	1/12	12/23	0.23922182823658691	0.5130807114477682
Pentose phosphate pathway	2/22	22/44	0.08288380932631909	0.3729771419684359
Phenylalanine metabolism	1/16	16/24	0.30632444785967533	0.5513840061474156
Tetrahydrobiopterin metabolism	1/13	13/24	0.2565403557238841	0.5130807114477682
Transport, endoplasmic reticular	1/69	69/116	0.8080367403689441	0.9696440884427329
Transport, extracellular	13/371	371/407	0.006411660138169747	0.07346354728748657
Transport, mitochondrial	3/100	100/152	0.3913564645215687	0.6404014873989305
Transport, nuclear	1/27	27/52	0.4635945475113346	0.6419001427080018
Transport, peroxisomal	4/39	39/95	0.008162616365276284	0.07346354728748657
Urea cycle	1/32	32/47	0.5235128371144023	0.6730879334328029
Exchange/demand reaction	1/621	621/639	0.9904306220095693	0.9904306220095693
Glutathione metabolism	1/16	16/18	0.025518341307814992	0.07655502392344499
Transport, extracellular	1/371	371/407	0.5917065390749601	0.8875598086124401
	6/257	257/445	0.8185381947153607	0.830755182696187
Aminosugar metabolism	2/23	23/40	0.13795203279137472	0.2680210922803852
Arginine and Proline Metabolism	3/27	27/46	0.03772774058090569	0.18324902567868478
Bile acid synthesis	2/32	32/64	0.23271490591248092	0.35165808004552673
Blood group synthesis	1/21	21/51	0.4630324671626023	0.5078420607589832
Butanoate metabolism	1/6	6/11	0.16094662622349462	0.28800975218941144
C5-branched dibasic acid metabolism	2/6	6/10	0.010917215018424142	0.10300559299705869
Cholesterol metabolism	2/17	17/49	0.08205654491917246	0.19240845015530095
Citric acid cycle	3/21	21/28	0.019131477742074424	0.10300559299705869
CoA catabolism	1/11	11/13	0.27605035687665525	0.3742578076007787
CoA synthesis	1/16	16/21	0.3761251934878915	0.4409743647789073
Eicosanoid metabolism	1/28	28/38	0.5656729681104199	0.6010275286173211
Exchange/demand reaction	18/621	621/639	0.8390533737765054	0.8390533737765054
Fatty acid oxidation	2/96	96/337	0.79058838689481	0.8145456107401073
Fatty acid synthesis	1/14	14/91	0.3377744478061946	0.40295899036528476
Folate metabolism	2/15	15/32	0.06553816860091095	0.18546480886829864
Fructose and mannose metabolism	3/20	20/36	0.01669933953559663	0.10300559299705869
Glutamate metabolism	2/20	20/25	0.10896858274384792	0.23155823833067685
Glutathione metabolism	2/16	16/18	0.07364043881535387	0.18546480886829864
Glycerophospholipid metabolism	3/33	33/53	0.06311051571655699	0.18546480886829864
Glycine, serine, alanine and threonine metabolism	4/26	26/53	0.004801211372470834	0.06529647466560334
Glycolysis/gluconeogenesis	3/32	32/49	0.058423693189553844	0.18546480886829864
Glyoxylate and dicarboxylate metabolism	1/12	12/22	0.29720472956532423	0.3742578076007787
Heme degradation	1/11	11/14	0.27605035687665525	0.3742578076007787
Histidine metabolism	2/15	15/26	0.06553816860091095	0.18546480886829864
Hyaluronan metabolism	1/6	6/10	0.16094662622349462	0.28800975218941144
Inositol phosphate metabolism	1/8	8/29	0.20892055217621397	0.3465023792190866
Lysine metabolism	1/12	12/23	0.29720472956532423	0.3742578076007787
Methionine and cysteine metabolism	4/34	34/52	0.012857363065912782	0.10300559299705869
Miscellaneous	2/33	33/45	0.24365712463479858	0.3601887929383979
N-glycan synthesis	2/14	14/62	0.057773039831632705	0.18546480886829864
NAD metabolism	4/20	20/30	0.001736759555880202	0.03551010809975416
Nucleotide interconversion	6/52	52/78	0.002088829888220833	0.03551010809975416
Nucleotide salvage pathway	2/8	8/8	0.019692245720025925	0.10300559299705869
Oxidative phosphorylation	2/13	13/17	0.05036931751021871	0.18546480886829864
Pentose phosphate pathway	8/22	22/44	2.014029360117441e-08	1.3695399648798598e-06
Phenylalanine metabolism	2/16	16/24	0.07364043881535387	0.18546480886829864
Phosphatidylinositol phosphate metabolism	1/12	12/46	0.29720472956532423	0.3742578076007787
Propanoate metabolism	2/16	16/26	0.07364043881535387	0.18546480886829864
Purine catabolism	5/29	29/33	0.0008363020855627808	0.02843427090913455
Purine synthesis	3/20	20/29	0.01669933953559663	0.10300559299705869
Pyrimidine catabolism	3/36	36/47	0.07821652672392117	0.18995442204380855
Pyrimidine synthesis	1/26	26/34	0.5384156846640418	0.581147088208807
Pyruvate metabolism	2/20	20/33	0.10896858274384792	0.23155823833067685
Sphingolipid metabolism	4/37	37/77	0.017326044042968676	0.10300559299705869
Squalene and cholesterol synthesis	1/8	8/16	0.20892055217621397	0.3465023792190866
Starch and sucrose metabolism	2/24	24/30	0.1479868549116622	0.2795307259442508
Steroid metabolism	2/32	32/51	0.23271490591248092	0.35165808004552673
Taurine and hypotaurine metabolism	1/9	9/13	0.23192447796107368	0.35165808004552673
Tetrahydrobiopterin metabolism	2/13	13/24	0.05036931751021871	0.18546480886829864
Thiamine metabolism	1/9	9/10	0.23192447796107368	0.35165808004552673
Transport, endoplasmic reticular	4/69	69/116	0.12538103349220994	0.2583609174990993
Transport, extracellular	16/371	371/407	0.006218505370361238	0.07047639419742736
Transport, golgi apparatus	2/35	35/51	0.2656450437262281	0.3742578076007787
Transport, lysosomal	1/33	33/59	0.6273186685860622	0.6562718379054189
Transport, mitochondrial	4/100	100/152	0.3196045667683368	0.38809125964726615
Transport, nuclear	2/27	27/52	0.17897897987663977	0.31206591363106423
Transport, peroxisomal	3/39	39/95	0.09481853733064168	0.21492201794945448
Triacylglycerol synthesis	1/12	12/15	0.29720472956532423	0.3742578076007787
Tryptophan metabolism	1/21	21/46	0.4630324671626023	0.5078420607589832
Tyrosine metabolism	2/35	35/58	0.2656450437262281	0.3742578076007787
Ubiquinone synthesis	2/13	13/30	0.05036931751021871	0.18546480886829864
Urea cycle	3/32	32/47	0.058423693189553844	0.18546480886829864
